"","District","Dem_2020","Dem_2016","chips_binary","states","state","chips_state"
"1","AK-AL",43,37.6,0,"AK","AK",0
"2","AL-01",35.3,34.1,0,"AL","AL",0
"3","AL-02",35.1,33,0,"AL","AL",0
"4","AL-03",33.7,32.3,0,"AL","AL",0
"5","AL-04",17.8,17.4,0,"AL","AL",0
"6","AL-05",35.7,31.3,0,"AL","AL",0
"7","AL-06",31.8,26.1,0,"AL","AL",0
"8","AL-07",70.8,69.8,0,"AL","AL",0
"9","AR-01",27.9,30.2,0,"AR","AR",0
"10","AR-02",44.3,41.7,0,"AR","AR",0
"11","AR-03",35.2,30.5,0,"AR","AR",0
"12","AR-04",29.6,31.3,0,"AR","AR",0
"13","AZ-01",50.1,46.6,1,"AZ","AZ",1
"14","AZ-02",54.5,49.6,1,"AZ","AZ",1
"15","AZ-03",62.8,62.4,1,"AZ","AZ",1
"16","AZ-04",30.6,27.5,1,"AZ","AZ",1
"17","AZ-05",41.9,36.5,1,"AZ","AZ",1
"18","AZ-06",47.3,42.4,0,"AZ","AZ",1
"19","AZ-07",73.7,71.8,1,"AZ","AZ",1
"20","AZ-08",41.4,37,1,"AZ","AZ",1
"21","AZ-09",60.8,54.7,1,"AZ","AZ",1
"22","CA-01",41.1,36.5,0,"CA","CA",0
"23","CA-02",73.6,69,0,"CA","CA",0
"24","CA-03",54.9,53,0,"CA","CA",0
"25","CA-04",43.9,39.3,0,"CA","CA",0
"26","CA-05",72.4,69.2,0,"CA","CA",0
"27","CA-06",70.3,69.2,0,"CA","CA",0
"28","CA-07",55.6,52.3,0,"CA","CA",0
"29","CA-08",43.6,39.6,0,"CA","CA",0
"30","CA-09",57.9,56.6,0,"CA","CA",0
"31","CA-10",50.3,48.5,0,"CA","CA",0
"32","CA-11",74.3,71.5,0,"CA","CA",0
"33","CA-12",86.1,86.2,0,"CA","CA",0
"34","CA-13",88.9,87.4,0,"CA","CA",0
"35","CA-14",77.7,76.9,0,"CA","CA",0
"36","CA-15",71.5,69.9,0,"CA","CA",0
