"","state","county","county_fips","dem_vote_2016","rep_vote_2016","dem_vote_2020","rep_vote_2020","media_market","commuting_zone","chips_county_project","chips_county","chips_mm","chips_cz"
"1","alabama","autauga","01001",23.77,72.77,27.02,71.44,"Montgomery, AL DMA",1,0,0,0,0
"2","alabama","baldwin","01003",19.39,76.55,22.41,76.17,"Mobile, AL - Pensacola, FL - MS DMA",2,0,0,0,0
"3","alabama","barbour","01005",46.53,52.1,45.79,53.45,"Columbus, GA - AL DMA",3,0,0,0,0
"4","alabama","bibb","01007",21.25,76.4,20.7,78.43,"Birmingham, AL DMA",4,0,0,0,0
"5","alabama","blount","01009",8.43,89.33,9.57,89.57,"Birmingham, AL DMA",5,0,0,0,0
"6","alabama","bullock","01011",74.95,24.2,74.7,24.84,"Montgomery, AL DMA",1,0,0,0,0
"7","alabama","butler","01013",42.67,56.13,41.79,57.53,"Montgomery, AL DMA",1,0,0,0,0
"8","alabama","calhoun","01015",27.67,68.66,29.85,68.85,"Birmingham, AL DMA",6,0,0,0,0
"9","alabama","chambers","01017",41.61,56.42,41.64,57.27,"Columbus, GA - AL DMA",7,0,0,0,0
"10","alabama","cherokee","01019",14.41,83.42,13.2,86.03,"Birmingham, AL DMA",8,0,0,0,0
"11","alabama","chilton","01021",15.85,82.1,15.91,83.3,"Birmingham, AL DMA",5,0,0,0,0
"12","alabama","choctaw","01023",42.64,56.31,41.89,57.56,"Meridian, MS - AL DMA",9,0,0,0,0
"13","alabama","clarke","01025",44.12,54.79,43.81,55.76,"Mobile, AL - Pensacola, FL - MS DMA",2,0,0,0,0
"14","alabama","clay","01027",18.67,79.18,18.28,80.82,"Birmingham, AL DMA",6,0,0,0,0
"15","alabama","cleburne","01029",10.37,87.43,9.34,89.72,"Atlanta, GA - AL - NC DMA",6,0,0,1,0
"16","alabama","coffee","01031",20.33,76.44,22.79,75.87,"Dothan, AL - GA DMA",3,0,0,0,0
"17","alabama","colbert","01033",29.35,67.21,29.92,68.86,"Huntsville - Decatur - Florence, AL - TN DMA",10,0,0,0,0
"18","alabama","conecuh","01035",46.77,51.94,46.05,53.44,"Mobile, AL - Pensacola, FL - MS DMA",11,0,0,0,0
"19","alabama","coosa","01037",33.93,64.38,32.78,66.27,"Montgomery, AL DMA",6,0,0,0,0
"20","alabama","covington","01039",14.97,83.23,15.61,83.68,"Montgomery, AL DMA",11,0,0,0,0
"21","alabama","crenshaw","01041",26.55,72.01,25.69,73.51,"Montgomery, AL DMA",1,0,0,0,0
"22","alabama","cullman","01043",10.03,87.1,10.7,88.12,"Birmingham, AL DMA",5,0,0,0,0
"23","alabama","dale","01045",23.54,73.65,26.19,72.46,"Dothan, AL - GA DMA",3,0,0,0,0
"24","alabama","dallas","01047",68.31,30.81,68.46,30.92,"Montgomery, AL DMA",4,0,0,0,0
"25","alabama","dekalb","01049",14.02,82.88,14.58,84.37,"Huntsville - Decatur - Florence, AL - TN DMA",8,0,0,0,0
"26","alabama","elmore","01051",22.66,74.17,25.27,73.52,"Montgomery, AL DMA",1,0,0,0,0
"27","alabama","escambia","01053",31.02,66.92,30.91,68.32,"Mobile, AL - Pensacola, FL - MS DMA",11,0,0,0,0
"28","alabama","etowah","01055",23.64,73.26,24.24,74.44,"Birmingham, AL DMA",8,0,0,0,0
"29","alabama","fayette","01057",16.51,81.37,15.91,83.28,"Birmingham, AL DMA",12,0,0,0,0
"30","alabama","franklin","01059",18.25,78.62,16.58,82.49,"Huntsville - Decatur - Florence, AL - TN DMA",10,0,0,0,0
"31","alabama","geneva","01061",12.97,85,12.71,86.47,"Dothan, AL - GA DMA",3,0,0,0,0
"32","alabama","greene","01063",82.23,17.17,81.34,18.32,"Birmingham, AL DMA",4,0,0,0,0
"33","alabama","hale","01065",59.39,39.47,59.03,40.41,"Birmingham, AL DMA",4,0,0,0,0
"34","alabama","henry","01067",28.39,69.77,28.03,71.06,"Dothan, AL - GA DMA",3,0,0,0,0
"35","alabama","houston","01069",25.01,72.07,27.98,70.64,"Dothan, AL - GA DMA",3,0,0,0,0
"36","alabama","jackson","01071",17.5,79.45,15.73,83.22,"Huntsville - Decatur - Florence, AL - TN DMA",8,0,0,0,0
"37","alabama","jefferson","01073",51.57,44.3,55.76,42.61,"Birmingham, AL DMA",5,0,0,0,0
"38","alabama","lamar","01075",14.87,83.59,13.6,85.83,"Columbus - Tupelo - West Point, MS - AL DMA",12,0,0,0,0
"39","alabama","lauderdale","01077",25.18,70.59,26.87,71.54,"Huntsville - Decatur - Florence, AL - TN DMA",10,0,0,0,0
"40","alabama","lawrence","01079",24.46,73.05,22.22,76.86,"Huntsville - Decatur - Florence, AL - TN DMA",10,0,0,0,0
"41","alabama","lee","01081",35.87,58.48,38.99,59.09,"Columbus, GA - AL DMA",7,0,0,0,0
"42","alabama","limestone","01083",23.5,72.14,27.77,70.36,"Huntsville - Decatur - Florence, AL - TN DMA",10,0,0,0,0
"43","alabama","lowndes","01085",73.06,26.2,72.74,26.86,"Montgomery, AL DMA",1,0,0,0,0
"44","alabama","macon","01087",82.78,15.66,81.49,17.67,"Montgomery, AL DMA",7,0,0,0,0
"45","alabama","madison","01089",38.45,54.79,44.82,52.77,"Huntsville - Decatur - Florence, AL - TN DMA",10,0,0,0,0
"46","alabama","marengo","01091",51.07,47.6,50.35,49.02,"Montgomery, AL DMA",4,0,0,0,0
"47","alabama","marion","01093",11.03,86.83,10.6,88.4,"Birmingham, AL DMA",12,0,0,0,0
"48","alabama","marshall","01095",13.92,82.78,14.99,83.7,"Huntsville - Decatur - Florence, AL - TN DMA",8,0,0,0,0
"49","alabama","mobile","01097",41.79,55.06,43.39,55.27,"Mobile, AL - Pensacola, FL - MS DMA",2,0,0,0,0
"50","alabama","monroe","01099",42.18,56.42,41.76,57.62,"Mobile, AL - Pensacola, FL - MS DMA",11,0,0,0,0
"51","alabama","montgomery","01101",61.45,35.46,65.09,33.6,"Montgomery, AL DMA",1,0,0,0,0
"52","alabama","morgan","01103",22.22,74.02,24.63,73.83,"Huntsville - Decatur - Florence, AL - TN DMA",10,0,0,0,0
"53","alabama","perry","01105",72.45,26.66,73.8,25.6,"Montgomery, AL DMA",4,0,0,0,0
"54","alabama","pickens","01107",41.63,57.18,41.6,57.86,"Birmingham, AL DMA",4,0,0,0,0
